"","letter","output"
"1",1,8
"2",1,8
"3",1,8
"4",1,8
"5",1,8
"6",1,8
"7",1,8
"8",1,8
"9",1,8
"10",1,8
"11",2,20
"12",2,20
"13",2,20
"14",2,20
"15",2,20
"16",2,20
"17",2,20
"18",2,20
"19",2,20
"20",2,20
"21",3,3
"22",3,3
"23",3,3
"24",3,3
"25",3,3
"26",3,3
"27",3,3
"28",3,3
"29",3,3
"30",3,3
"31",4,21
"32",4,21
"33",4,21
"34",4,21
"35",4,21
"36",4,21
"37",4,21
"38",4,21
"39",4,21
"40",4,21
"41",5,10
"42",5,26
"43",5,10
"44",5,10
"45",5,10
"46",5,10
"47",5,26
"48",5,10
"49",5,10
"50",5,10
"51",6,10
"52",6,12
"53",6,10
"54",6,10
"55",6,10
"56",6,20
"57",6,10
"58",6,12
"59",6,10
"60",6,10
"61",7,11
"62",7,11
"63",7,11
"64",7,11
"65",7,11
"66",7,11
"67",7,11
"68",7,11
"69",7,11
"70",7,11
"71",8,21
"72",8,21
"73",8,21
"74",8,21
"75",8,21
"76",8,21
"77",8,21
"78",8,21
"79",8,21
"80",8,21
"81",9,9
"82",9,9
"83",9,9
"84",9,9
"85",9,9
"86",9,9
"87",9,9
"88",9,9
"89",9,9
"90",9,9
"91",10,7
"92",10,7
"93",10,7
"94",10,7
"95",10,7
"96",10,7
"97",10,7
"98",10,7
"99",10,7
"100",10,7
"101",11,20
"102",11,20
"103",11,20
"104",11,20
"105",11,20
"106",11,20
"107",11,20
"108",11,20
"109",11,20
"110",11,20
"111",12,26
"112",12,10
"113",12,26
"114",12,26
"115",12,26
"116",12,26
"117",12,26
"118",12,26
"119",12,26
"120",12,26
"121",13,16
"122",13,16
"123",13,16
"124",13,16
"125",13,16
"126",13,16
"127",13,16
"128",13,16
"129",13,16
"130",13,16
"131",14,21
"132",14,21
"133",14,21
"134",14,21
"135",14,21
"136",14,21
"137",14,21
"138",14,21
"139",14,21
"140",14,21
"141",15,22
"142",15,22
"143",15,22
"144",15,22
"145",15,22
"146",15,22
"147",15,22
"148",15,22
"149",15,22
"150",15,22
"151",16,20
"152",16,20
"153",16,20
"154",16,20
"155",16,20
"156",16,20
"157",16,20
"158",16,20
"159",16,20
"160",16,20
"161",17,22
"162",17,22
"163",17,22
"164",17,22
"165",17,22
"166",17,22
"167",17,22
"168",17,22
"169",17,22
"170",17,22
"171",18,20
"172",18,20
"173",18,20
"174",18,20
"175",18,20
"176",18,20
"177",18,20
"178",18,20
"179",18,20
"180",18,20
"181",19,18
"182",19,18
"183",19,18
"184",19,18
"185",19,18
"186",19,18
"187",19,18
"188",19,18
"189",19,18
"190",19,18
"191",20,9
"192",20,9
"193",20,9
"194",20,9
"195",20,9
"196",20,9
"197",20,9
"198",20,24
"199",20,9
"200",20,9
"201",21,21
"202",21,21
"203",21,21
"204",21,21
"205",21,21
"206",21,21
"207",21,21
"208",21,21
"209",21,21
"210",21,21
"211",22,16
"212",22,16
"213",22,16
"214",22,16
"215",22,16
"216",22,16
"217",22,16
"218",22,16
"219",22,16
"220",22,16
"221",23,30
"222",23,30
"223",23,30
"224",23,30
"225",23,30
"226",23,30
"227",23,30
"228",23,30
"229",23,30
"230",23,30
"231",24,29
"232",24,29
"233",24,29
"234",24,29
"235",24,29
"236",24,29
"237",24,29
"238",24,29
"239",24,29
"240",24,29
"241",25,2
"242",25,2
"243",25,2
"244",25,2
"245",25,2
"246",25,2
"247",25,2
"248",25,2
"249",25,2
"250",25,2
"251",26,4
"252",26,4
"253",26,4
"254",26,4
"255",26,4
"256",26,4
"257",26,4
"258",26,4
"259",26,4
"260",26,4
