Test Image Size,Test Image receptive size,Test Image Noise,Test Image # ,Calculator Receptive Size,Calculator Stride,Calculator MI Per Cluster,Max,Percentage of Max,SD,SD percent,,
16,2,0,5120,2,2,2.025703,6,0.3376171667,0.2483979,0.04139965,,2.023374
16,2,0,5120,4,4,8.113688,120,0.06761406667,0.1707415,0.001422845833,,8.377574
16,2,0,5120,8,8,33.67903,2016,0.01670586806,0.08827828,0.00004378882937,,37.68275
16,2,0.1,5120,2,2,0.4288998,6,0.0714833,0.08398905,0.013998175,,0.444049
16,2,0.1,5120,4,4,1.729361,120,0.01441134167,0.04809135,0.00040076125,,2.05702
16,2,0.1,5120,8,8,8.180421,2016,0.004057748512,0.02440137,0.00001210385417,,12.61452
16,2,0.2,5120,2,2,0.1848615,6,0.03081025,0.02001506,0.003335843333,,0.1991688
16,2,0.2,5120,4,4,0.75688,120,0.006307333333,0.01495654,0.0001246378333,,1.06923
16,2,0.2,5120,8,8,4.346033,2016,0.002155770337,0.000001508472,0.0000000007482500002,,8.671693
16,2,0.3,5120,2,2,0.1014072,6,0.0169012,0.01256216,0.002093693333,,0.1180864
16,2,0.3,5120,4,4,0.422451,120,0.003520425,0.008673232,0.00007227693333,,0.7364877
16,2,0.3,5120,8,8,3.107735,2016,0.001541535218,0.004722481,0.000002342500496,,7.441504
16,2,0.4,5120,2,2,0.03842288,6,0.006403813333,0.0051432082,0.0008572013667,,0.03309951
16,2,0.4,5120,4,4,0.1739458,120,0.001449548333,0.003432336,0.0000286028,,0.4049195
16,2,0.4,5120,8,8,2.043086,2016,0.001013435516,0.002282437,0.00000113216121,,5.958557
16,2,0.5,5120,2,2,0.01370302,6,0.002283836667,0.001370276,0.0002283793333,,0.02861885
16,2,0.5,5120,4,4,0.0769856,120,0.0006415466667,0.001087421,0.000009061841667,,0.3968808
16,2,0.5,5120,8,8,1.675738,2016,0.000831219246,0.001229942,0.0000006100902778,,5.970812
16,4,0,5120,2,2,0.1310119,6,0.02183531667,0.02922952,0.004871586667,,1.202002
16,4,0,5120,4,4,21.2655,120,0.1772125,0.217495,0.001812458333,,21.26292
16,4,0,5120,8,8,58.9413,2016,0.02923675595,0.1301627,0.00006456483135,,88.14405
16,4,0.1,5120,2,2,0.3031433,6,0.05052388333,0.04180954,0.006968256667,,0.515372
16,4,0.1,5120,4,4,10.03652,120,0.08363766667,0.082065345,0.000683877875,,10.35597
16,4,0.1,5120,8,8,41.59759,2016,0.0206337252,0.05400444,0.00002678791667,,46.26636
16,4,0.2,5120,2,2,0.07137656,6,0.01189609333,0.01070113,0.001783521667,,0.1795346
16,4,0.2,5120,4,4,2.698087,120,0.02248405833,0.03356268,0.000279689,,2.998129
16,4,0.2,5120,8,8,12.1026,2016,0.00600327381,0.01922934,0.000009538363095,,16.33281
16,4,0.3,5120,2,2,0.0317649,6,0.00529415,0.005858231,0.0009763718333,,0.09426586
16,4,0.3,5120,4,4,2.052413,120,0.01710344167,0.02173229,0.0001811024167,,2.356974
16,4,0.3,5120,8,8,9.545603,2016,0.004734922123,0.0131282,0.000006512003968,,13.73306
16,4,0.4,5120,2,2,0.006484023,6,0.0010806705,0.001658633,0.0002764388333,,0.05247387
16,4,0.4,5120,4,4,0.8518747,120,0.007098955833,0.006945338,0.00005787781667,,1.17738
16,4,0.4,5120,8,8,4.797082,2016,0.00237950496,0.005031122,0.00000249559623,,9.071284
16,4,0.5,5120,2,2,0.003612907,6,0.0006021511667,0.0006343048,0.0001057174667,,0.03231495
16,4,0.5,5120,4,4,0.2094063,120,0.0017450525,0.002497932,0.0000208161,,0.5330786
16,4,0.5,5120,8,8,2.198063,2016,0.001090309028,0.001924195,0.0000009544618056,,6.61691
16,8,0,5120,2,2,0.05353888,6,0.008923146667,0.01117763,0.001862938333,,1.667523
16,8,0,5120,4,4,5.838605,120,0.04865504167,0.06283138,0.0005235948333,,31.39212
16,8,0,5120,8,8,507.4511,2016,0.2517118552,0.2761714,0.0001369897817,,507.7935
16,8,0.1,5120,2,2,0.02578091,6,0.004296818333,0.004195622,0.0006992703333,,0.3432544
16,8,0.1,5120,4,4,1.920368,120,0.01600306667,0.01865564,0.0001554636667,,7.554701
16,8,0.1,5120,8,8,132.3281,2016,0.06563893849,0.08285525,0.00004109883433,,132.5535
16,8,0.2,5120,2,2,0.03195324,6,0.00532554,0.007654355,0.001275725833,,0.187948
16,8,0.2,5120,4,4,1.038015,120,0.008650125,0.0109031,0.00009085916667,,3.854054
16,8,0.2,5120,8,8,64.96829,2016,0.03222633433,0.03420231,0.00001696543155,,67.84187
16,8,0.3,5120,2,2,0.004993858,6,0.0008323096667,0.001489812,0.000248302,,0.08208977
16,8,0.3,5120,4,4,0.4566235,120,0.003805195833,0.005059952,0.00004216626667,,1.604103
16,8,0.3,5120,8,8,26.73052,2016,0.01325918651,0.0156143,0.000007745188492,,26.95627
16,8,0.4,5120,2,2,0.00143694,6,0.00023949,0.0002871907,0.00004786511667,,0.03511617
16,8,0.4,5120,4,4,0.211146,120,0.00175955,0.002793186,0.00002327655,,0.7640607
16,8,0.4,5120,8,8,12.80141,2016,0.006349905754,0.006911962,0.000003428552579,,13.0148
16,8,0.5,5120,2,2,0.001436235,6,0.0002393725,0.000233219,0.00003886983333,,0.01864981
16,8,0.5,5120,4,4,0.0873885,120,0.0007282375,0.0009696891,0.0000080807425,,0.3839257
16,8,0.5,5120,8,8,5.933803,2016,0.002943354663,0.002989807,0.000001483039187,,6.156352
