Submatrix Pattern,Noise,RF,Loss,Percent.of.Maximum.MI.per.RF,Which.Loss
2,0,2,0.072506,0.337617,Loss at 5 Epochs
2,0,2,0.080192,0.337617,Loss at 5 Epochs
2,0,2,0.094775,0.337617,Loss at 5 Epochs
2,0,2,0.103778,0.337617,Loss at 5 Epochs
2,0,2,0.052142,0.337617,Loss at 5 Epochs
2,0,2,0.21209,0.337617,Loss at 5 Epochs
2,0,2,0.065315,0.337617,Loss at 5 Epochs
2,0,2,0.17544,0.337617,Loss at 5 Epochs
2,0,2,0.403988,0.337617,Loss at 5 Epochs
2,0,2,0.095913,0.337617,Loss at 5 Epochs
2,0,4,0.451291,0.067614,Loss at 5 Epochs
2,0,4,0.207291,0.067614,Loss at 5 Epochs
2,0,4,0.180955,0.067614,Loss at 5 Epochs
2,0,4,0.290203,0.067614,Loss at 5 Epochs
2,0,4,0.144713,0.067614,Loss at 5 Epochs
2,0,4,0.279225,0.067614,Loss at 5 Epochs
2,0,4,0.218603,0.067614,Loss at 5 Epochs
2,0,4,0.143913,0.067614,Loss at 5 Epochs
2,0,4,0.128552,0.067614,Loss at 5 Epochs
2,0,4,0.380777,0.067614,Loss at 5 Epochs
2,0,8,1.003773,0.016706,Loss at 5 Epochs
2,0,8,1.336154,0.016706,Loss at 5 Epochs
2,0,8,1.192863,0.016706,Loss at 5 Epochs
2,0,8,1.203612,0.016706,Loss at 5 Epochs
2,0,8,0.982119,0.016706,Loss at 5 Epochs
2,0,8,0.965832,0.016706,Loss at 5 Epochs
2,0,8,1.348629,0.016706,Loss at 5 Epochs
2,0,8,1.340821,0.016706,Loss at 5 Epochs
2,0,8,1.299331,0.016706,Loss at 5 Epochs
2,0,8,1.359425,0.016706,Loss at 5 Epochs
2,0.1,2,0.365609,0.071483,Loss at 5 Epochs
2,0.1,2,0.721828,0.071483,Loss at 5 Epochs
2,0.1,2,0.310626,0.071483,Loss at 5 Epochs
2,0.1,2,0.329405,0.071483,Loss at 5 Epochs
2,0.1,2,0.884971,0.071483,Loss at 5 Epochs
2,0.1,2,0.359441,0.071483,Loss at 5 Epochs
2,0.1,2,0.79762,0.071483,Loss at 5 Epochs
2,0.1,2,0.336283,0.071483,Loss at 5 Epochs
2,0.1,2,0.562128,0.071483,Loss at 5 Epochs
2,0.1,2,0.450803,0.071483,Loss at 5 Epochs
2,0.1,4,1.631189,0.014411,Loss at 5 Epochs
2,0.1,4,1.43446,0.014411,Loss at 5 Epochs
2,0.1,4,0.939087,0.014411,Loss at 5 Epochs
2,0.1,4,1.386929,0.014411,Loss at 5 Epochs
2,0.1,4,1.183654,0.014411,Loss at 5 Epochs
2,0.1,4,1.254328,0.014411,Loss at 5 Epochs
2,0.1,4,1.402299,0.014411,Loss at 5 Epochs
2,0.1,4,1.074294,0.014411,Loss at 5 Epochs
2,0.1,4,1.455873,0.014411,Loss at 5 Epochs
2,0.1,4,1.738565,0.014411,Loss at 5 Epochs
2,0.1,8,2.871951,0.004058,Loss at 5 Epochs
2,0.1,8,2.742871,0.004058,Loss at 5 Epochs
2,0.1,8,2.812949,0.004058,Loss at 5 Epochs
2,0.1,8,2.895657,0.004058,Loss at 5 Epochs
2,0.1,8,3.002777,0.004058,Loss at 5 Epochs
2,0.1,8,2.672002,0.004058,Loss at 5 Epochs
2,0.1,8,2.804258,0.004058,Loss at 5 Epochs
2,0.1,8,2.72055,0.004058,Loss at 5 Epochs
2,0.1,8,3.091476,0.004058,Loss at 5 Epochs
2,0.1,8,2.790417,0.004058,Loss at 5 Epochs
2,0.2,2,2.734423,0.03081,Loss at 5 Epochs
2,0.2,2,1.729699,0.03081,Loss at 5 Epochs
2,0.2,2,2.304535,0.03081,Loss at 5 Epochs
2,0.2,2,0.95513,0.03081,Loss at 5 Epochs
2,0.2,2,2.545687,0.03081,Loss at 5 Epochs
2,0.2,2,2.875717,0.03081,Loss at 5 Epochs
2,0.2,2,2.473835,0.03081,Loss at 5 Epochs
2,0.2,2,2.685901,0.03081,Loss at 5 Epochs
2,0.2,2,4.715247,0.03081,Loss at 5 Epochs
2,0.2,2,3.900422,0.03081,Loss at 5 Epochs
2,0.2,4,3.752227,0.006307,Loss at 5 Epochs
2,0.2,4,3.256355,0.006307,Loss at 5 Epochs
2,0.2,4,3.99251,0.006307,Loss at 5 Epochs
2,0.2,4,2.972261,0.006307,Loss at 5 Epochs
2,0.2,4,3.059551,0.006307,Loss at 5 Epochs
2,0.2,4,3.365857,0.006307,Loss at 5 Epochs
2,0.2,4,2.89797,0.006307,Loss at 5 Epochs
2,0.2,4,3.761903,0.006307,Loss at 5 Epochs
2,0.2,4,2.842105,0.006307,Loss at 5 Epochs
2,0.2,4,2.436372,0.006307,Loss at 5 Epochs
2,0.2,8,3.979723,0.002156,Loss at 5 Epochs
2,0.2,8,4.365889,0.002156,Loss at 5 Epochs
2,0.2,8,4.064799,0.002156,Loss at 5 Epochs
2,0.2,8,4.084667,0.002156,Loss at 5 Epochs
2,0.2,8,4.052828,0.002156,Loss at 5 Epochs
2,0.2,8,4.135725,0.002156,Loss at 5 Epochs
2,0.2,8,4.191836,0.002156,Loss at 5 Epochs
2,0.2,8,4.150579,0.002156,Loss at 5 Epochs
2,0.2,8,4.161157,0.002156,Loss at 5 Epochs
2,0.2,8,4.144526,0.002156,Loss at 5 Epochs
2,0.3,2,4.443966,0.016901,Loss at 5 Epochs
2,0.3,2,4.093323,0.016901,Loss at 5 Epochs
2,0.3,2,4.524522,0.016901,Loss at 5 Epochs
2,0.3,2,4.337917,0.016901,Loss at 5 Epochs
2,0.3,2,4.401809,0.016901,Loss at 5 Epochs
2,0.3,2,4.775145,0.016901,Loss at 5 Epochs
2,0.3,2,4.456334,0.016901,Loss at 5 Epochs
2,0.3,2,4.709955,0.016901,Loss at 5 Epochs
2,0.3,2,3.408168,0.016901,Loss at 5 Epochs
2,0.3,2,4.272809,0.016901,Loss at 5 Epochs
2,0.3,4,4.542189,0.00352,Loss at 5 Epochs
2,0.3,4,4.743239,0.00352,Loss at 5 Epochs
2,0.3,4,4.763473,0.00352,Loss at 5 Epochs
2,0.3,4,4.473266,0.00352,Loss at 5 Epochs
2,0.3,4,4.573886,0.00352,Loss at 5 Epochs
