Submat,RF,Noise,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2,2,0,0.744531251,0.998046877,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,0,0.473828123,0.969921878,0.999609375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,8,0,0.1234375,0.507031249,0.888671875,0.970703135,0.992187507,0.998046877,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,10,0.318281248,0.893125004,0.987890629,0.999296876,0.9996875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,10,0.124765625,0.619296876,0.905,0.971796878,0.992968757,0.998437501,0.99984375,1,1,1,0.999921875,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,8,10,0.05015625,0.203359375,0.505781247,0.646328123,0.73640625,0.805624999,0.8565625,0.893125003,0.915546878,0.9253125,0.935468752,0.941640628,0.945859375,0.952343753,0.953671878,0.954843753,0.957500006,0.960390629,0.960390628,0.960546879,0.961875005,0.96398438,0.965468756,0.963281254,0.966406258
2,2,20,0.072578125,0.36375,0.680859373,0.844218751,0.935546882,0.975781255,0.993281252,0.997109377,0.997968751,0.998671876,0.998828126,0.999062501,0.999296876,0.999296876,0.999296876,0.999375001,0.999296876,0.999296876,0.999375001,0.999375001,0.999375001,0.999375001,0.999375001,0.999375001,0.999375001
2,4,20,0.03859375,0.206875,0.497031249,0.643671873,0.754218755,0.838437501,0.895,0.933281253,0.952890631,0.962343753,0.96710938,0.974531255,0.975468756,0.978046884,0.980937507,0.982187507,0.982812507,0.984140633,0.985234383,0.986796883,0.986015632,0.986875007,0.987890633,0.987500008,0.987734383
2,8,20,0.015390625,0.05140625,0.15046875,0.21984375,0.274609376,0.320546876,0.364062501,0.401328124,0.434687498,0.467187497,0.485078122,0.510156249,0.522343748,0.537968747,0.550078122,0.553203124,0.563515619,0.570546873,0.575937498,0.583046876,0.584921874,0.587343749,0.595234374,0.593671875,0.594765623
2,2,30,0.019765625,0.080234375,0.18390625,0.291718749,0.395312499,0.484921876,0.586484373,0.654531249,0.714453125,0.761875001,0.796015623,0.817421874,0.837343752,0.848906252,0.860546875,0.872421877,0.879765628,0.884453129,0.888046876,0.892890629,0.894453127,0.898125005,0.900468752,0.901093755,0.902968752
2,4,30,0.01,0.02875,0.0734375,0.12125,0.167109375,0.218437501,0.262578125,0.307421874,0.348125,0.387890624,0.425546874,0.456875,0.488046876,0.519140625,0.534531249,0.551015623,0.568671871,0.58484375,0.593984371,0.608437499,0.611953124,0.623828127,0.631015624,0.634765626,0.646093751
2,8,30,0.006953125,0.01265625,0.02796875,0.046484375,0.0596875,0.07296875,0.0875,0.09875,0.103515625,0.113515625,0.123046875,0.131953125,0.135078125,0.14015625,0.143515625,0.1478125,0.152109375,0.157343751,0.160390626,0.159921875,0.165468751,0.165390626,0.17125,0.1734375,0.17546875
2,2,40,0.0065625,0.00953125,0.01546875,0.021171875,0.0278125,0.03046875,0.036171875,0.03765625,0.04484375,0.04765625,0.053359375,0.057578125,0.061484375,0.064375,0.070703125,0.070703125,0.07609375,0.077578125,0.07875,0.08359375,0.083984375,0.08796875,0.087734375,0.0890625,0.09203125
2,4,40,0.004296875,0.00609375,0.00890625,0.012734375,0.01453125,0.01859375,0.020859375,0.023125,0.024296875,0.02765625,0.028515625,0.030234375,0.03046875,0.0328125,0.03546875,0.0359375,0.034140625,0.038515625,0.040625,0.038828125,0.041015625,0.04359375,0.043828125,0.04265625,0.044375
2,8,40,0.004765625,0.00546875,0.00734375,0.008984375,0.009375,0.0115625,0.01171875,0.01203125,0.01296875,0.01390625,0.01328125,0.01265625,0.01484375,0.014765625,0.014375,0.014140625,0.0140625,0.0153125,0.015,0.0153125,0.014453125,0.015234375,0.01546875,0.015703125,0.01515625
2,2,50,0.004765625,0.003515625,0.003359375,0.00421875,0.004296875,0.004453125,0.004296875,0.004609375,0.0040625,0.004609375,0.004921875,0.004375,0.004453125,0.00453125,0.005,0.004296875,0.004375,0.004453125,0.00453125,0.00421875,0.00484375,0.004375,0.00421875,0.004453125,0.004609375
2,4,50,0.00375,0.0034375,0.003984375,0.00375,0.003828125,0.0040625,0.00375,0.00328125,0.003984375,0.004453125,0.00390625,0.003515625,0.00359375,0.003515625,0.003359375,0.00484375,0.003828125,0.004375,0.00359375,0.00375,0.003984375,0.003671875,0.004375,0.003828125,0.00390625
2,8,50,0.003671875,0.004609375,0.004296875,0.004453125,0.0040625,0.004140625,0.003828125,0.002734375,0.002734375,0.002890625,0.003203125,0.003125,0.00375,0.002890625,0.00296875,0.002734375,0.003046875,0.003046875,0.002890625,0.003125,0.0025,0.0034375,0.003046875,0.003125,0.003125
4,2,0,0.728515623,0.998046877,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,0,0.481249998,0.970703134,0.998828126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,8,0,0.1234375,0.454296874,0.839453121,0.980468756,0.995312504,0.998046877,0.999609375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,2,10,0.263749999,0.826718752,0.975703134,0.996718753,0.999609375,0.999609375,1,0.999921875,1,1,0.999921875,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,10,0.098203125,0.565234372,0.925703127,0.983125006,0.994921877,0.997968751,0.998984376,0.999609375,0.999765625,0.999609375,0.999921875,1,0.999921875,1,1,1,1,1,1,1,1,1,1,1,1
4,8,10,0.04265625,0.198828125,0.531328123,0.722656248,0.83578125,0.897734375,0.933671878,0.960390633,0.973359384,0.97914063,0.98273438,0.985546881,0.988281256,0.988281258,0.990312506,0.991093756,0.990859381,0.99101563,0.99242188,0.99257813,0.99242188,0.99195313,0.99320313,0.993437504,0.99320313
4,2,20,0.0534375,0.280000001,0.553671875,0.745546876,0.866093748,0.942265625,0.975234384,0.985000008,0.990390633,0.992968756,0.99429688,0.994843754,0.995468754,0.996093753,0.996484378,0.996171878,0.996484378,0.996796878,0.996953128,0.997265628,0.996953127,0.997031253,0.997265628,0.997265627,0.997343753
4,4,20,0.029921875,0.188671875,0.482187499,0.680937498,0.817890625,0.902578128,0.941953133,0.959609382,0.97085938,0.977031255,0.980000003,0.982812502,0.98445313,0.987265628,0.988984378,0.988750005,0.989687504,0.990703129,0.991093754,0.991718753,0.992265628,0.992031254,0.992578128,0.993125004,0.993125004
4,8,20,0.015,0.056875,0.203750001,0.335000001,0.443124999,0.527031247,0.607578125,0.660156251,0.70828125,0.740781249,0.762109376,0.781718748,0.795078123,0.807578123,0.81390625,0.824140623,0.831093746,0.834531249,0.839062499,0.843515622,0.845703123,0.8490625,0.851874999,0.852421873,0.854062499
4,2,30,0.01296875,0.041093749,0.092265625,0.15703125,0.206015625,0.276171875,0.34109375,0.404453123,0.456796874,0.504843748,0.544218748,0.573984377,0.598203127,0.614140622,0.635703124,0.646093751,0.658281248,0.668671873,0.67578125,0.68640625,0.687656251,0.693125001,0.702656248,0.704375002,0.708437499
4,4,30,0.007578125,0.020546875,0.059609375,0.1309375,0.209453125,0.2875,0.376015625,0.465468747,0.532500001,0.591562501,0.640234375,0.67609375,0.707812503,0.728359374,0.75078125,0.764453125,0.780859376,0.789999998,0.800468749,0.807890621,0.816406249,0.820625,0.826640626,0.831874997,0.834296874
4,8,30,0.007890625,0.013359375,0.03046875,0.066328125,0.098203125,0.128203125,0.158046875,0.177421875,0.196406251,0.221953126,0.249062501,0.262265626,0.275703126,0.295000001,0.303359376,0.309296876,0.320000001,0.331015625,0.339375001,0.346093751,0.350312501,0.352968751,0.363750001,0.36765625,0.365078125
4,2,40,0.004921875,0.005234375,0.0071875,0.00953125,0.01109375,0.014140625,0.016171875,0.01796875,0.01890625,0.02125,0.0234375,0.02578125,0.02828125,0.026484375,0.029765625,0.029375,0.033046875,0.033828125,0.034140625,0.03625,0.036328125,0.035546875,0.037265625,0.035390625,0.037890625
4,4,40,0.004453125,0.00609375,0.008359375,0.0109375,0.01359375,0.017578125,0.019375,0.0240625,0.027109375,0.03140625,0.03359375,0.0375,0.03953125,0.0446875,0.046796875,0.04734375,0.052890625,0.053828125,0.055546875,0.060390625,0.063828125,0.065234375,0.0659375,0.0678125,0.068359375
4,8,40,0.00546875,0.0059375,0.00625,0.007890625,0.01,0.00921875,0.01046875,0.012109375,0.01421875,0.015546875,0.01625,0.01734375,0.018359375,0.019375,0.01984375,0.021953125,0.02203125,0.02328125,0.023125,0.02359375,0.02484375,0.025625,0.02625,0.02625,0.026015625
4,2,50,0.004609375,0.0034375,0.004375,0.00453125,0.003125,0.003515625,0.004609375,0.00390625,0.004296875,0.004375,0.003984375,0.003515625,0.0034375,0.00390625,0.004140625,0.00328125,0.00421875,0.0046875,0.003359375,0.004765625,0.004140625,0.004453125,0.004140625,0.00421875,0.004609375
4,4,50,0.003046875,0.003359375,0.003203125,0.003203125,0.002421875,0.00296875,0.003984375,0.00375,0.00328125,0.00375,0.004140625,0.003984375,0.004453125,0.00484375,0.0046875,0.004375,0.004375,0.005078125,0.0046875,0.004765625,0.003515625,0.00359375,0.004375,0.00421875,0.0040625
4,8,50,0.003828125,0.00421875,0.003828125,0.003671875,0.00296875,0.00328125,0.00296875,0.003203125,0.0034375,0.00390625,0.003828125,0.0034375,0.004140625,0.004609375,0.003984375,0.00359375,0.00421875,0.00453125,0.00484375,0.004296875,0.004453125,0.00421875,0.00484375,0.003671875,0.004453125
