Submat,RF,Noise,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2,2,0,4.731947673,3.173023162,1.355753666,0.380406872,0.119224764,0.058566408,0.03761519,0.027026066,0.020621817,0.016371195,0.01337416,0.011168473,0.009487504,0.008173447,0.007123522,0.00627015,0.005564578,0.004974364,0.00447247,0.004036501,0.00365602,0.003325529,0.003038553,0.002786024,0.002564693
2,4,0,5.159704688,4.121252077,2.429579486,0.812180682,0.219123689,0.093803107,0.055785555,0.038405133,0.028544779,0.022261907,0.017963383,0.014856348,0.012523961,0.010720154,0.009294336,0.008141688,0.007193614,0.006404177,0.005739376,0.005174599,0.004688404,0.004267251,0.003900236,0.003578682,0.003295383
2,8,0,5.337356332,4.687259953,3.534714146,2.162807743,1.077922611,0.514709698,0.273350663,0.166713239,0.112804914,0.081649792,0.062576361,0.049516695,0.040236929,0.03354419,0.028395891,0.024309893,0.021150921,0.01852966,0.016431696,0.014601854,0.013112445,0.011838035,0.010726111,0.009766448,0.008931229
2,2,10,5.12661709,4.185632845,2.902501133,1.55453696,0.656941617,0.274529404,0.142863116,0.090995504,0.06530812,0.050065117,0.040062676,0.033036902,0.027855233,0.023865643,0.020697045,0.018165541,0.016103406,0.014399366,0.012960031,0.011725338,0.010671503,0.00974157,0.008938655,0.008235795,0.007603555
2,4,10,5.357735938,4.739929733,3.741810031,2.475846024,1.271316771,0.566580619,0.28516094,0.172158205,0.11900602,0.088599518,0.069894887,0.056786241,0.047541596,0.040583215,0.035156232,0.030860253,0.027424795,0.024519753,0.02209895,0.020090378,0.018320505,0.016848012,0.015496926,0.014357101,0.013315664
2,8,10,5.438669363,5.034477047,4.33048841,3.464164043,2.583386157,1.85305949,1.338514148,0.996262802,0.773114508,0.626910984,0.522154041,0.445236116,0.391149162,0.345437564,0.311804153,0.286282056,0.260962261,0.243115911,0.227634936,0.217101399,0.202983236,0.191824561,0.183091127,0.176694115,0.168810461
2,2,20,5.351377074,4.876037765,4.184519058,3.311884772,2.316843886,1.424600992,0.829264861,0.505611842,0.341934889,0.254637569,0.200841255,0.164998121,0.139642543,0.120831638,0.106639958,0.095040131,0.085713025,0.07806989,0.071451402,0.065935526,0.061083913,0.05692498,0.053168986,0.049925053,0.046944827
2,4,20,5.457588626,5.157002999,4.576606071,3.846151652,2.991076199,2.142161915,1.464863686,1.007502284,0.731482797,0.560081204,0.449289696,0.370996084,0.318027404,0.2763835,0.24313703,0.218741001,0.198233763,0.182309876,0.168179502,0.155827889,0.146319283,0.138287929,0.129997561,0.123714621,0.117790884
2,8,20,5.502420285,5.350856361,5.022504899,4.608136194,4.140255659,3.674770161,3.255450542,2.89971295,2.608747002,2.377902179,2.198171696,2.048998645,1.935015163,1.841903742,1.761423743,1.704583925,1.652645088,1.605621219,1.572520155,1.534817992,1.510795247,1.4905998,1.463848849,1.453753717,1.442266213
2,2,30,5.47874228,5.312483689,5.024006265,4.65535759,4.195939371,3.658850184,3.07831803,2.539111076,2.07565889,1.713315156,1.448984503,1.252540172,1.104931798,0.990192988,0.899987794,0.829416743,0.773065936,0.726874838,0.687444913,0.654687053,0.626107912,0.603029044,0.581741594,0.562732721,0.545521962
